#{"t_start": 1605291836.632368, "env_id": null}
r,l,t
-651,652,0.619097
-869,870,1.35355
-743,744,3.712285
-83,84,3.783364
-1000,1000,4.698555
-686,687,5.338212
-105,106,8.171186
-1000,1000,9.047084
-172,173,9.193997
-1000,1000,11.509644
-165,166,11.639835
-906,907,12.333917
-112,113,12.420808
-1000,1000,14.765442
-1000,1000,15.610549
-2,3,15.612974
-536,537,16.048829
-382,383,17.969356
-421,422,18.295183
-1000,1000,19.114224
-1000,1000,21.433532
-419,420,21.77782
-855,856,22.440309
-284,285,24.273704
-195,196,24.433074
-1000,1000,25.231999
-426,427,25.574068
-124,125,25.680906
-1000,1000,28.072308
-400,401,28.402977
-824,825,29.074048
-347,348,30.954561
-214,215,31.118749
-126,127,31.215402
-110,111,31.305419
-300,301,31.560549
-318,319,31.823001
-399,400,32.153429
-91,92,32.229392
-475,476,34.221155
-1000,1000,35.313843
-77,78,35.379281
-476,477,35.786889
-171,172,35.931398
-1000,1000,38.336565
-668,669,38.90315
-193,194,39.070829
-1000,1000,41.541832
-69,70,41.600055
-657,658,42.128094
-1000,1000,44.569325
-180,181,44.708255
-1000,1000,45.697678
-1000,1000,48.415585
-607,608,49.130288
-191,192,49.284151
-643,644,49.778271
-866,867,51.984769
-1000,1000,52.830427
-1000,1000,55.391443
-263,264,55.613018
-522,523,56.059104
-722,723,58.637445
-1000,1000,59.508647
-703,704,60.063695
-773,774,62.48657
-172,173,62.645421
-5,6,62.651409
-1000,1000,63.607897
-349,350,65.648723
-279,280,65.870865
-1000,1000,66.69204
-625,626,68.731726
-527,528,69.15136
-1000,1000,69.946885
-509,510,72.337849
-57,58,72.38148
-60,61,72.42819
-794,795,73.058113
-259,260,73.260929
-1000,1000,76.274558
-1000,1000,77.147563
-2,3,77.150036
-829,830,77.791759
-186,187,79.485532
-42,43,79.528152
-906,907,80.266706
-5,6,80.272389
-336,337,80.608397
-429,430,81.122293
-678,679,83.737294
-106,107,83.822211
-1000,1000,84.635524
-70,71,84.690404
-149,150,84.807015
-157,158,84.929561
-1000,1000,87.311806
-1000,1000,88.107828
-1,2,88.109482
-592,593,90.145059
-631,632,90.658203
-657,658,91.180071
-477,478,93.343966
-179,180,93.485257
-205,206,93.64686
-1000,1000,94.521363
-1000,1000,97.02466
-549,550,97.52397
-102,103,97.604152
-340,341,97.874453
-1000,1000,100.356925
-1000,1000,101.140748
-215,216,101.30698
-502,503,103.192721
-144,145,103.30299
-8,9,103.309831
-395,396,103.611796
-117,118,103.707404
-354,355,103.993253
-1000,1000,106.379084
-351,352,106.655647
-44,45,106.690112
-467,468,107.048107
-431,432,107.385894
-146,147,107.499866
-20,21,107.516949
-709,710,109.589654
-550,551,110.010782
-343,344,110.281108
-148,149,110.395915
-164,165,110.525642
-576,577,110.966549
-1000,1000,113.296744
-1000,1000,114.083298
-481,482,116.005165
-17,18,116.020177
-648,649,116.544513
-1000,1000,118.986086
-336,337,119.275076
-484,485,119.659207
-613,614,120.143593
-527,528,120.562696
-251,252,122.355255
-851,852,123.090982
-1000,1000,125.525551
-270,271,125.741101
-684,685,126.344626
-1000,1000,127.155459
-383,384,129.235224
-1000,1000,130.006594
-360,361,130.289272
-1000,1000,132.570674
-1000,1000,133.343135
-1000,1000,135.623276
-1000,1000,136.394385
-137,138,136.502751
-49,50,136.541916
-912,913,139.013707
-1000,1000,139.831767
-716,717,142.120673
-327,328,142.422717
-414,415,142.759546
-169,170,142.903157
-799,800,143.652549
-303,304,145.478612
-438,439,145.898914
-338,339,146.175196
-249,250,146.386657
-257,258,146.598984
-17,18,146.613278
-161,162,146.742534
-222,223,146.91978
-841,842,149.177166
-50,51,149.220893
-119,120,149.319013
-163,164,149.447653
-365,366,149.743313
-238,239,149.925499
-598,599,152.176756
-145,146,152.452684
-569,570,153.016743
-1000,1000,153.875891
-259,260,155.987729
-763,764,156.594476
-847,848,157.260188
-132,133,157.364732
-42,43,157.398688
-548,549,159.606377
-236,237,159.806947
-170,171,159.948874
-65,66,160.003043
-269,270,160.246492
-1000,1000,162.784848
-175,176,162.929565
-667,668,163.875511
-829,830,165.090619
-43,44,165.160498
-383,384,168.07288
-63,64,168.242013
-43,44,168.313456
-51,52,168.378784
-293,294,168.726046
-416,417,169.166083
-89,90,169.255474
-555,556,169.780629
-148,149,169.904572
-468,469,171.83836
-1000,1000,172.687326
-306,307,172.929067
-359,360,173.208001
-181,182,174.938566
-800,801,175.610886
-69,70,175.668539
-91,92,175.74119
-101,102,175.824416
-195,196,175.982465
-12,13,175.992672
-22,23,176.010379
-605,606,176.486373
-500,501,178.436288
-26,27,178.458771
-96,97,178.53592
-91,92,178.629509
-118,119,178.801069
-732,733,179.839353
-73,74,179.916748
-513,514,182.45972
-420,421,182.814916
-417,418,183.161751
-850,851,183.862922
-218,219,184.034617
-206,207,185.785595
-46,47,185.82528
-364,365,186.135074
-408,409,186.458076
-153,154,186.584173
-391,392,186.902516
-575,576,188.871908
-104,105,188.971583
-474,475,189.410825
-98,99,189.488438
-460,461,189.861471
-1000,1000,192.323158
-1000,1000,193.208658
-189,190,193.368553
-360,361,193.687311
-445,446,195.557157
-564,565,195.99479
-971,972,196.744053
-421,422,197.075628
-66,67,198.72157
-121,122,198.822519
-1000,1000,199.648048
-70,71,199.702032
-453,454,200.074946
-1000,1000,202.424956
-15,16,202.437349
-1000,1000,203.209416
-693,694,205.296398
-1000,1000,206.103773
-1000,1000,208.444803
-459,460,208.811117
-756,757,209.426286
-427,428,209.757367
-428,429,211.628944
-549,550,212.046589
-16,17,212.060199
-93,94,212.13475
-117,118,212.226957
-18,19,212.241952
-3,4,212.24507
-32,33,212.276196
-54,55,212.331218
-166,167,212.488876
-1000,1000,214.961162
-168,169,215.092904
-496,497,215.479954
-793,794,216.110328
-176,177,216.24746
-8,9,216.254492
-675,676,218.354307
-128,129,218.452378
-176,177,218.588217
-372,373,218.883663
-396,397,219.19587
-996,997,221.554689
-765,766,222.159526
-304,305,222.391239
-727,728,224.428382
-111,112,224.513423
-89,90,224.58155
-140,141,224.688375
-73,74,224.745419
-1000,1000,225.505072
-43,44,225.538506
-956,957,227.723154
-143,144,227.833241
-207,208,227.992816
-87,88,228.059751
-288,289,228.279383
-73,74,228.336074
-62,63,228.383762
-1000,1000,230.731361
-136,137,230.842414
-517,518,231.264992
-804,805,231.906094
-9,10,231.913953
-1000,1000,234.197331
-435,436,234.528449
-267,268,234.732848
-146,147,234.844419
-214,215,235.009125
-440,441,236.80439
-310,311,237.055638
-219,220,237.223985
-36,37,237.252217
-270,271,237.469394
-1000,1000,240.03665
-87,88,240.169957
-39,40,240.214656
-110,111,240.329246
-102,103,240.430724
-232,233,240.658046
-95,96,240.735008
-522,523,241.19504
-840,841,243.69933
-213,214,243.908064
-74,75,243.978708
-437,438,244.387021
-262,263,244.635493
-185,186,244.8037
-280,281,245.039323
-512,513,247.099121
-191,192,247.258843
-227,228,247.446934
-735,736,248.147895
-367,368,248.471345
-911,912,250.901443
-300,301,251.170821
-328,329,251.445704
-473,474,251.857171
-207,208,252.033862
-484,485,253.970685
-125,126,254.083818
-722,723,254.69059
-256,257,254.903076
-44,45,254.940618
-236,237,255.139737
-499,500,257.056616
-152,153,257.176331
-767,768,257.779657
-132,133,257.884203
-193,194,258.036367
-947,948,260.227174
-107,108,260.322231
-42,43,260.35946
-224,225,260.542265
-117,118,260.638437
-336,337,260.946249
-194,195,261.196521
-428,429,261.617019
-198,199,261.817555
-234,235,263.638391
-422,423,264.038663
-444,445,264.451334
-456,457,264.87784
-481,482,265.360342
-945,946,267.812787
-107,108,267.900963
-567,568,268.363649
-1000,1000,270.509142
-118,119,270.602753
-108,109,270.687824
-70,71,270.743255
-133,134,270.848119
-407,408,271.167345
-185,186,271.313421
-14,15,271.32518
-193,194,271.476178
-125,126,271.574138
-80,81,271.637174
-1,2,271.638824
-257,258,273.320343
-136,137,273.431729
-262,263,273.646157
-35,36,273.675376
-421,422,274.018293
-144,145,274.135766
-41,42,274.170685
-1000,1000,276.523069
-79,80,276.597919
-397,398,276.9892
-287,288,277.277379
-596,597,277.84274
-47,48,277.882945
-268,269,278.114495
-309,310,278.406613
-585,586,280.587851
-255,256,280.803378
-55,56,280.851573
-20,21,280.868682
-191,192,281.026747
-176,177,281.174702
-136,137,281.286517
-461,462,281.661055
-22,23,281.679757
-254,255,283.295772
-697,698,283.845394
-106,107,283.935977
-1000,1000,284.745149
-119,120,284.83881
-154,155,286.403669
-271,272,286.639972
-324,325,286.913206
-91,92,286.989282
-161,162,287.121491
-577,578,287.643144
-1000,1000,290.008382
-72,73,290.068113
-328,329,290.336302
-199,200,290.498604
-51,52,290.540799
-567,568,291.00016
-82,83,291.067632
-91,92,291.14341
-561,562,293.029883
-21,22,293.048212
-163,164,293.184101
-425,426,293.528424
-347,348,293.811265
-40,41,293.844834
-572,573,294.309638
-1000,1000,296.521177
-15,16,296.534162
-277,278,296.758881
-778,779,297.389459
-441,442,299.137821
-87,88,299.210092
-116,117,299.304414
-77,78,299.367914
-341,342,299.660847
-7,8,299.674952
-31,32,299.749162
-26,27,299.778598
-144,145,299.909315
-18,19,299.926521
-16,17,299.943341
0,1,299.944422
-1000,1000,302.369354
-708,709,302.950596
-474,475,303.337319
-51,52,303.383246
-395,396,303.707494
-353,354,305.396523
-83,84,305.464176
-159,160,305.610654
-297,298,305.925498
-412,413,306.277621
-618,619,306.821196
-441,442,308.662331
-652,653,309.211507
-220,221,309.396969
-31,32,309.424562
-210,211,309.604528
-114,115,309.700905
-34,35,309.730711
-478,479,310.119411
-134,135,310.229051
-15,16,311.642341
-367,368,311.940095
-108,109,312.02798
-327,328,312.295009
-25,26,312.316169
-416,417,312.654507
-83,84,312.72262
-67,68,312.777727
-429,430,313.127433
-49,50,313.168041
-38,39,313.199637
-268,269,314.814994
-698,699,315.382746
-165,166,315.518056
-553,554,315.9653
-134,135,316.075536
-248,249,316.276528
-511,512,318.136724
-213,214,318.315841
-316,317,318.582222
-15,16,318.59575
-64,65,318.650754
-147,148,318.775084
-615,616,319.320782
-353,354,321.547297
-339,340,321.916895
-54,55,321.973422
-644,645,322.619856
-4,5,322.624817
-378,379,322.983103
-298,299,323.294276
-198,199,323.501116
-150,151,325.78362
-261,262,326.032544
-478,479,326.469269
-38,39,326.504927
-201,202,326.687734
-157,158,326.831353
-41,42,326.869541
-411,412,327.231961
-99,100,327.316258
-229,230,327.509627
-33,34,329.047308
-249,250,329.25776
-119,120,329.355049
-650,651,329.892864
-700,701,330.470832
-193,194,330.630352
-30,31,330.656435
-335,336,332.375365
-109,110,332.46444
-166,167,332.603894
-452,453,332.992145
-260,261,333.219338
-152,153,333.347805
-1000,1000,335.727628
-26,27,335.751729
-283,284,335.995094
-19,20,336.013085
-594,595,336.562736
-73,74,336.636228
-191,192,336.813217
-284,285,337.077038
-1000,1000,339.659959
-263,264,339.908844
-133,134,340.035007
-646,647,340.607314
-487,488,342.668877
-56,57,342.721833
-25,26,342.745836
-225,226,342.988521
-142,143,343.1484
-139,140,343.29516
-129,130,343.404813
-79,80,343.471871
-27,28,343.495422
-474,475,343.975422
-26,27,344.000596
-10,11,344.010122
-118,119,344.120992
-290,291,344.375638
-286,287,346.195429
-26,27,346.218446
-370,371,346.585189
-18,19,346.60547
-474,475,347.07175
-8,9,347.080088
-292,293,347.398279
-631,632,349.588965
-41,42,349.625723
-64,65,349.683513
-67,68,349.743548
-212,213,349.932253
-87,88,350.008797
-71,72,350.072527
-289,290,350.319543
-29,30,350.345057
-58,59,350.394472
-48,49,350.435611
-578,579,350.938204
-285,286,351.211004
-622,623,353.351598
-107,108,353.449769
-89,90,353.546913
-23,24,353.571861
-42,43,353.617789
-64,65,353.686638
-24,25,353.71057
-230,231,353.905889
-153,154,354.035605
-355,356,354.369983
-119,120,354.499773
-76,77,354.586211
-64,65,354.665044
-72,73,354.728125
-81,82,354.800967
-88,89,356.482721
-80,81,356.555561
-103,104,356.64826
-91,92,356.729458
-15,16,356.743794
-105,106,356.852825
-113,114,356.973042
-410,411,357.376375
-360,361,357.698921
-164,165,357.849079
-16,17,357.864214
-18,19,357.880948
-4,5,357.885382
-559,560,360.111038
-6,7,360.117121
-42,43,360.155787
-743,744,360.885742
-325,326,361.181995
-361,362,361.559014
-382,383,361.922301
-70,71,361.986281
-171,172,363.880723
-369,370,364.246386
-132,133,364.367306
-438,439,364.796843
-81,82,364.879565
-153,154,365.020109
-109,110,365.122842
-181,182,365.289637
-109,110,365.398884
-374,375,365.78112
-78,79,367.541024
-36,37,367.581887
-186,187,367.778283
-1000,1000,368.721671
-138,139,368.843277
-36,37,368.87719
-293,294,369.139605
-366,367,371.086163
-432,433,371.46133
-533,534,371.92394
-4,5,371.92828
-164,165,372.070712
-55,56,372.120997
-208,209,372.298377
-340,341,372.5865
-462,463,374.504277
-325,326,374.785637
-127,128,374.896084
-1,2,374.897897
-50,51,374.940731
-22,23,374.960343
-16,17,374.975599
-151,152,375.111779
-69,70,375.174487
-233,234,375.372305
-1000,1000,377.758615
-406,407,378.111659
-290,291,378.359946
-132,133,378.468019
-150,151,378.591796
-110,111,378.686205
-42,43,378.722956
-576,577,379.205758
-33,34,379.233594
-598,599,381.350567
-140,141,381.476404
-354,355,381.822489
-356,357,382.136259
-504,505,382.564769
-383,384,384.775666
-175,176,384.952156
-79,80,385.033635
-172,173,385.202539
-60,61,385.261427
0,1,385.262504
-223,224,385.482718
-69,70,385.55393
-222,223,385.773674
-337,338,386.099057
-1000,1000,388.621105
-63,64,388.677219
-69,70,388.738311
-240,241,388.952613
-253,254,389.173979
-96,97,389.257436
-44,45,389.295774
-136,137,389.413891
-28,29,389.440261
-325,326,389.729876
-514,515,391.674654
-96,97,391.757946
-285,286,392.004557
-11,12,392.014975
-331,332,392.295605
-230,231,392.494283
-13,14,392.506016
-46,47,392.546462
-7,8,392.553056
-110,111,392.644654
-68,69,392.702447
-9,10,392.710725
-28,29,392.73453
-488,489,393.141835
-153,154,394.717663
-163,164,394.854393
-171,172,395.008346
-385,386,395.345093
-10,11,395.354501
-160,161,395.498716
-77,78,395.57197
-19,20,395.591601
-305,306,395.861774
-83,84,395.936636
-106,107,396.030904
-92,93,396.110684
-51,52,396.154651
-327,328,396.43455
-199,200,398.152562
-36,37,398.18373
-565,566,398.678467
-2,3,398.681438
-232,233,398.883483
-363,364,399.199353
-78,79,399.266863
-47,48,399.30719
-96,97,399.391602
-1,2,399.393403
-101,102,399.484092
-98,99,399.572332
-124,125,399.680887
-14,15,399.693863
-183,184,401.447076
-45,46,401.487134
-62,63,401.541727
-774,775,402.21571
-229,230,402.410282
-36,37,402.442823
-48,49,402.486788
-432,433,402.860533
-112,113,402.98511
-43,44,403.023765
-61,62,403.076268
-519,520,405.41607
-408,409,405.802362
-42,43,405.840013
-402,403,406.20562
-288,289,406.458414
-35,36,406.488862
-132,133,406.639441
-122,123,406.810603
-74,75,406.948047
-105,106,407.139063
-27,28,407.180932
-67,68,408.990711
-103,104,409.08187
-152,153,409.222288
-53,54,409.271827
-536,537,409.741104
0,1,409.74208
-218,219,409.930104
-127,128,410.070674
-231,232,410.559787
-782,783,413.04244
-3,4,413.046886
-240,241,413.253187
-242,243,413.460715
-45,46,413.501455
-293,294,413.754777
-57,58,413.803553
